vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,location,payment_type,fare_amount,tip_amount,total_amount,weather,traffic,customer_id,driver_id,day_of_week,hour_of_day,trip_purpose,surge_pricing
V004,2024-07-06 19:43:13,2024-07-06 20:08:13,3,4,40.83778,-73.908448,40.645672,-73.7121,Uptown,Cash,13.71,3.61,17.32,Rain,Moderate,CUST9343,DR464,Saturday,19,Commute,TRUE
V002,2024-07-01 8:30:02,2024-07-01 9:25:02,2,3.2,40.740143,-74.029575,40.582992,-74.142064,Airport,Card,11.47,2.91,14.38,Clear,Moderate,CUST8143,DR916,Monday,8,Leisure,FALSE
V001,2024-07-26 12:53:02,2024-07-26 13:53:02,2,6.8,40.774602,-74.106918,40.914091,-73.750766,Uptown,Card,25.83,4.22,30.05,Cloudy,Moderate,CUST4324,DR544,Friday,12,Airport Transfer,FALSE
V004,2024-07-09 18:19:48,2024-07-09 18:40:48,4,9.5,40.853758,-73.793997,40.702559,-73.93241,Uptown,Cash,28.05,4.85,32.9,Snow,Moderate,CUST8471,DR423,Tuesday,18,Leisure,FALSE
V004,2024-07-10 18:08:11,2024-07-10 18:28:11,1,1.6,40.743601,-74.069485,40.870998,-73.857747,Midtown,Card,3.6,1.07,4.67,Snow,Moderate,CUST1272,DR152,Wednesday,18,Errands,FALSE
V004,2024-06-16 10:47:59,2024-06-16 11:08:59,2,8.4,40.631249,-73.811686,40.907161,-73.988887,Uptown,Card,23.58,2.93,26.51,Cloudy,Light,CUST7839,DR865,Sunday,10,Commute,FALSE
V002,2024-05-17 8:53:12,2024-05-17 9:22:12,2,8.8,40.878354,-74.13646,40.637724,-73.783702,Suburbs,Card,20.61,3.83,24.44,Fog,Light,CUST1142,DR969,Friday,8,Errands,TRUE
V004,2024-06-22 20:58:12,2024-06-22 21:05:12,2,8.7,40.88693,-73.828259,40.751877,-74.124161,Midtown,Cash,25.78,4.51,30.29,Rain,Light,CUST6771,DR151,Saturday,20,Errands,FALSE
V004,2024-06-28 15:16:46,2024-06-28 16:14:46,1,5.3,40.804918,-73.734829,40.701393,-73.843269,Uptown,Card,16.93,2.91,19.84,Cloudy,Heavy,CUST8253,DR838,Friday,15,Business,FALSE
V004,2024-06-26 8:15:25,2024-06-26 9:14:25,2,8,40.5833,-73.746459,40.849565,-73.905454,Uptown,Cash,29.06,7.42,36.48,Rain,Light,CUST1546,DR482,Wednesday,8,Errands,TRUE
V002,2024-05-28 4:27:55,2024-05-28 5:09:55,1,4.6,40.776205,-74.090866,40.862456,-73.850745,Suburbs,Card,16.44,4.24,20.68,Clear,Light,CUST7174,DR724,Tuesday,4,Errands,FALSE
V003,2024-06-16 11:55:17,2024-06-16 12:48:17,4,5.3,40.759982,-73.836264,40.898414,-73.727429,Midtown,Cash,17.59,4.54,22.13,Snow,Heavy,CUST6199,DR368,Sunday,11,Leisure,FALSE
V003,2024-07-02 5:59:25,2024-07-02 6:32:25,4,4.9,40.842074,-73.739301,40.740009,-73.727753,Airport,Card,17.31,4.13,21.44,Fog,Light,CUST9447,DR714,Tuesday,5,Errands,TRUE
V004,2024-06-25 0:12:26,2024-06-25 0:30:26,3,7.2,40.883123,-74.123601,40.793103,-73.994828,Downtown,Card,21.61,2.67,24.28,Rain,Heavy,CUST9687,DR941,Tuesday,0,Airport Transfer,FALSE
V002,2024-07-23 15:37:57,2024-07-23 16:02:57,4,6.1,40.71825,-74.10557,40.819852,-74.000836,Suburbs,Card,20.82,3.31,24.13,Clear,Heavy,CUST8446,DR913,Tuesday,15,Commute,FALSE
V002,2024-06-29 10:47:17,2024-06-29 11:17:17,4,5.5,40.798083,-74.00726,40.667881,-74.130115,Uptown,Cash,12.49,1.32,13.81,Snow,Heavy,CUST1263,DR924,Saturday,10,Commute,TRUE
V003,2024-06-19 17:57:53,2024-06-19 18:55:53,2,9.1,40.702345,-73.895942,40.868862,-73.71828,Uptown,Card,27.9,6.55,34.45,Clear,Moderate,CUST7258,DR519,Wednesday,17,Errands,TRUE
V001,2024-05-30 11:42:38,2024-05-30 12:30:38,1,5.2,40.671724,-74.099888,40.597682,-73.818677,Downtown,Cash,12.68,2.52,15.2,Fog,Heavy,CUST8346,DR931,Thursday,11,Errands,FALSE
V001,2024-06-07 12:52:00,2024-06-07 13:52:00,4,6.6,40.601263,-74.058431,40.760438,-73.836053,Midtown,Card,18.76,4.84,23.6,Cloudy,Moderate,CUST9194,DR950,Friday,12,Leisure,FALSE
V004,2024-06-13 8:54:43,2024-06-13 9:41:43,1,4.4,40.718048,-73.899645,40.732357,-73.863452,Uptown,Card,14.46,1.73,16.19,Cloudy,Moderate,CUST7014,DR852,Thursday,8,Airport Transfer,TRUE
V001,2024-05-28 19:03:15,2024-05-28 19:51:15,1,7.5,40.861256,-74.139331,40.908686,-73.77459,Uptown,Card,21.74,5.02,26.76,Fog,Heavy,CUST2693,DR216,Tuesday,19,Commute,TRUE
V001,2024-05-28 9:53:49,2024-05-28 10:02:49,4,5.6,40.834217,-73.715339,40.914247,-73.860323,Suburbs,Card,12.13,2.19,14.32,Fog,Moderate,CUST7299,DR284,Tuesday,9,Business,FALSE
V001,2024-06-19 5:17:27,2024-06-19 5:36:27,4,8.1,40.685986,-73.741059,40.855852,-74.125792,Suburbs,Card,26.34,7.38,33.72,Clear,Light,CUST1458,DR860,Wednesday,5,Airport Transfer,FALSE
V004,2024-06-14 13:02:22,2024-06-14 13:28:22,2,1.2,40.769113,-74.084363,40.825947,-73.936882,Airport,Card,3.65,0.42,4.07,Cloudy,Light,CUST2961,DR161,Friday,13,Errands,TRUE
V004,2024-06-01 13:22:25,2024-06-01 14:08:25,2,9.4,40.842126,-74.039271,40.658023,-73.776159,Airport,Cash,25.19,6.79,31.98,Rain,Moderate,CUST6885,DR298,Saturday,13,Leisure,FALSE
V001,2024-06-01 11:07:49,2024-06-01 12:07:49,2,5.1,40.784089,-73.810068,40.721294,-73.944349,Uptown,Card,10.79,2.45,13.24,Clear,Heavy,CUST4166,DR199,Saturday,11,Leisure,FALSE
V002,2024-05-19 0:19:10,2024-05-19 0:42:10,3,1.5,40.783993,-73.707854,40.874804,-73.989583,Uptown,Cash,4.24,1.07,5.31,Clear,Heavy,CUST3100,DR546,Sunday,0,Errands,FALSE
V003,2024-05-21 5:18:18,2024-05-21 6:15:18,2,7.2,40.619326,-73.956688,40.694848,-74.039784,Downtown,Cash,25.64,3.55,29.19,Fog,Moderate,CUST7575,DR389,Tuesday,5,Airport Transfer,FALSE
V003,2024-07-25 17:21:26,2024-07-25 18:08:26,1,5.2,40.745589,-73.854822,40.912902,-73.905675,Suburbs,Card,16.89,3.5,20.39,Clear,Heavy,CUST3461,DR587,Thursday,17,Business,TRUE
V001,2024-07-14 8:14:42,2024-07-14 8:46:42,2,1.6,40.867929,-73.786431,40.856902,-73.974758,Airport,Card,4.97,0.91,5.88,Fog,Light,CUST6529,DR555,Sunday,8,Airport Transfer,TRUE
V001,2024-05-12 16:19:36,2024-05-12 16:35:36,2,7.7,40.76658,-73.779787,40.700608,-73.856883,Midtown,Cash,20.72,3.53,24.25,Snow,Moderate,CUST4909,DR596,Sunday,16,Errands,FALSE
V001,2024-06-05 14:00:08,2024-06-05 14:17:08,4,6.4,40.594914,-74.014385,40.82488,-74.099928,Midtown,Card,13.56,2.8,16.36,Fog,Light,CUST9932,DR606,Wednesday,14,Commute,FALSE
V004,2024-06-26 2:11:04,2024-06-26 2:46:04,2,4.9,40.698234,-74.078242,40.649474,-73.909145,Airport,Card,18.45,4.51,22.96,Rain,Moderate,CUST2719,DR224,Wednesday,2,Business,FALSE
V001,2024-05-18 7:34:12,2024-05-18 8:00:12,2,4.8,40.699898,-73.849718,40.873681,-73.780615,Downtown,Cash,17.8,3.11,20.91,Fog,Light,CUST6720,DR596,Saturday,7,Leisure,TRUE
V001,2024-06-03 4:50:15,2024-06-03 5:33:15,4,3.4,40.757242,-74.138838,40.655958,-73.820245,Midtown,Cash,13.17,1.54,14.71,Cloudy,Heavy,CUST7802,DR668,Monday,4,Business,TRUE
V003,2024-06-14 8:30:08,2024-06-14 8:59:08,1,4.1,40.684641,-74.148151,40.59646,-73.742525,Suburbs,Card,10.3,1.59,11.89,Fog,Heavy,CUST2998,DR140,Friday,8,Errands,FALSE
V003,2024-05-07 8:10:43,2024-05-07 8:40:43,4,10,40.833702,-73.759313,40.866848,-73.866604,Airport,Cash,34.5,4.6,39.1,Rain,Moderate,CUST4532,DR492,Tuesday,8,Business,FALSE
V003,2024-07-22 3:20:35,2024-07-22 3:57:35,3,4.5,40.742809,-74.076155,40.746354,-74.127642,Midtown,Card,17.61,4.79,22.4,Clear,Light,CUST3010,DR994,Monday,3,Business,TRUE
V001,2024-06-19 9:59:49,2024-06-19 10:35:49,1,6.3,40.786761,-73.776962,40.791008,-73.90744,Airport,Card,14.42,2.91,17.33,Rain,Light,CUST3118,DR655,Wednesday,9,Errands,TRUE
V004,2024-05-31 19:25:27,2024-05-31 19:41:27,2,2.6,40.895998,-74.022352,40.81455,-73.707144,Midtown,Cash,8.96,2.54,11.5,Snow,Heavy,CUST8833,DR391,Friday,19,Business,FALSE
V003,2024-07-13 5:30:55,2024-07-13 6:18:55,3,3.4,40.732523,-73.887762,40.853059,-74.108481,Airport,Cash,8.66,1.19,9.85,Fog,Moderate,CUST2922,DR471,Saturday,5,Airport Transfer,FALSE
V001,2024-07-03 11:44:52,2024-07-03 11:50:52,3,9.7,40.669576,-73.998883,40.89249,-74.034295,Airport,Card,22.86,6.65,29.51,Cloudy,Moderate,CUST7507,DR755,Wednesday,11,Errands,TRUE
V004,2024-07-24 19:59:00,2024-07-24 20:43:00,4,8.7,40.805628,-73.921608,40.713495,-73.769077,Midtown,Cash,19.16,4.91,24.07,Snow,Light,CUST2394,DR195,Wednesday,19,Business,TRUE
V003,2024-05-22 11:14:03,2024-05-22 12:04:03,1,8.5,40.589806,-73.99437,40.887434,-73.766278,Downtown,Cash,28.54,4.99,33.53,Cloudy,Moderate,CUST6720,DR217,Wednesday,11,Business,TRUE
V004,2024-05-08 13:42:37,2024-05-08 14:26:37,1,6.7,40.793163,-73.857672,40.754109,-73.779166,Downtown,Cash,17.23,2.78,20.01,Clear,Heavy,CUST1139,DR423,Wednesday,13,Leisure,FALSE
V001,2024-07-11 11:14:11,2024-07-11 12:03:11,3,5.6,40.697798,-74.002161,40.802914,-73.755543,Airport,Card,12.12,1.53,13.65,Cloudy,Light,CUST4439,DR603,Thursday,11,Airport Transfer,FALSE
V003,2024-07-04 4:00:03,2024-07-04 4:35:03,4,8.6,40.758364,-74.074425,40.606476,-73.703294,Suburbs,Card,23.38,4.5,27.88,Rain,Heavy,CUST2396,DR943,Thursday,4,Business,TRUE
V003,2024-05-10 2:49:57,2024-05-10 3:05:57,3,6.7,40.646314,-73.763655,40.816213,-73.927401,Airport,Cash,15.54,1.72,17.26,Rain,Moderate,CUST4470,DR126,Friday,2,Airport Transfer,TRUE
V001,2024-05-25 1:03:51,2024-05-25 1:45:51,2,5,40.84201,-73.958377,40.591998,-73.786381,Uptown,Card,14.26,1.98,16.24,Rain,Heavy,CUST7830,DR798,Saturday,1,Business,TRUE
V003,2024-07-27 18:27:43,2024-07-27 18:45:43,4,8.9,40.786276,-73.973732,40.772835,-73.840185,Suburbs,Card,27.03,3.02,30.05,Fog,Heavy,CUST2947,DR747,Saturday,18,Business,FALSE
V003,2024-07-01 23:55:42,2024-07-02 0:46:42,3,3.2,40.836795,-74.009295,40.701632,-73.767245,Airport,Card,11.86,1.91,13.77,Snow,Heavy,CUST5096,DR704,Monday,23,Leisure,TRUE
V004,2024-07-03 14:40:49,2024-07-03 14:58:49,1,7.4,40.82597,-73.714947,40.81793,-73.75107,Suburbs,Cash,28.96,4.64,33.6,Rain,Moderate,CUST5467,DR237,Wednesday,14,Business,FALSE
V004,2024-07-03 11:49:48,2024-07-03 12:00:48,2,8.7,40.578191,-74.099792,40.824356,-73.960316,Suburbs,Cash,33.82,6.36,40.18,Snow,Light,CUST1919,DR535,Wednesday,11,Commute,TRUE
V002,2024-05-21 14:20:52,2024-05-21 15:18:52,1,6.9,40.828077,-74.017912,40.778323,-73.759668,Downtown,Cash,25.25,5.19,30.44,Snow,Moderate,CUST1311,DR224,Tuesday,14,Errands,FALSE
V001,2024-05-08 2:57:57,2024-05-08 3:32:57,2,9.3,40.685512,-73.734178,40.708549,-73.833895,Airport,Card,23.06,3.72,26.78,Clear,Moderate,CUST7140,DR894,Wednesday,2,Business,FALSE
V002,2024-06-05 12:41:08,2024-06-05 13:05:08,1,4.2,40.735956,-73.82165,40.841036,-73.891803,Suburbs,Card,15.38,3.66,19.04,Fog,Heavy,CUST7836,DR852,Wednesday,12,Errands,TRUE
V001,2024-07-11 15:35:45,2024-07-11 15:53:45,4,8.3,40.784179,-73.974516,40.906282,-73.724215,Suburbs,Card,17.66,4.3,21.96,Snow,Heavy,CUST1705,DR747,Thursday,15,Leisure,TRUE
V004,2024-07-04 20:46:07,2024-07-04 21:32:07,4,7.8,40.730813,-74.148478,40.678505,-73.738977,Midtown,Card,17.95,3.08,21.03,Cloudy,Moderate,CUST2844,DR735,Thursday,20,Leisure,TRUE
V002,2024-07-12 6:31:48,2024-07-12 6:41:48,2,5.8,40.5893,-73.991775,40.902198,-74.140637,Airport,Card,19.94,4.26,24.2,Clear,Heavy,CUST4271,DR402,Friday,6,Errands,FALSE
V001,2024-05-25 21:07:19,2024-05-25 21:39:19,2,5.9,40.687123,-73.959524,40.621104,-73.829217,Airport,Card,13.65,2.04,15.69,Snow,Light,CUST7725,DR217,Saturday,21,Airport Transfer,TRUE
V004,2024-07-07 12:15:19,2024-07-07 12:59:19,1,7.5,40.589598,-73.817715,40.693573,-73.862631,Midtown,Card,21.42,2.22,23.64,Snow,Heavy,CUST3001,DR454,Sunday,12,Commute,FALSE
V002,2024-06-26 2:20:01,2024-06-26 2:40:01,3,1,40.60936,-74.077388,40.726141,-73.834863,Airport,Card,2.44,0.51,2.95,Clear,Light,CUST7179,DR651,Wednesday,2,Airport Transfer,TRUE
V004,2024-07-26 9:10:35,2024-07-26 9:29:35,3,9.1,40.872239,-73.765922,40.830981,-73.867668,Midtown,Cash,25.38,4.2,29.58,Fog,Heavy,CUST8926,DR134,Friday,9,Errands,FALSE
V004,2024-07-25 18:47:40,2024-07-25 19:04:40,2,9.8,40.620884,-73.85287,40.773734,-74.063845,Uptown,Cash,22.67,2.73,25.4,Fog,Moderate,CUST1569,DR661,Thursday,18,Business,FALSE
V004,2024-05-14 19:03:03,2024-05-14 20:02:03,1,7.8,40.601136,-73.732153,40.909615,-73.94273,Suburbs,Card,22.9,6.53,29.43,Cloudy,Light,CUST9649,DR777,Tuesday,19,Leisure,FALSE
V004,2024-07-16 0:23:31,2024-07-16 0:35:31,3,9.5,40.876258,-74.059619,40.773734,-74.142994,Uptown,Card,31.76,5.51,37.27,Fog,Light,CUST5672,DR967,Tuesday,0,Errands,FALSE
V004,2024-06-08 3:45:09,2024-06-08 4:01:09,3,5.5,40.835154,-74.127171,40.816567,-74.099182,Suburbs,Cash,15.82,2.39,18.21,Snow,Light,CUST8692,DR657,Saturday,3,Airport Transfer,FALSE
V003,2024-05-30 2:45:06,2024-05-30 2:52:06,1,2.2,40.831211,-74.035358,40.801104,-74.034449,Midtown,Cash,5.38,1.06,6.44,Rain,Light,CUST9709,DR903,Thursday,2,Errands,FALSE
V002,2024-07-01 9:03:42,2024-07-01 9:51:42,4,6.7,40.892272,-73.959618,40.861077,-73.962876,Uptown,Card,19.98,3.19,23.17,Cloudy,Heavy,CUST7954,DR354,Monday,9,Airport Transfer,FALSE
V004,2024-05-19 8:16:59,2024-05-19 8:37:59,1,4.8,40.766017,-74.050284,40.622155,-74.089688,Airport,Cash,14.78,2.58,17.36,Clear,Light,CUST6778,DR303,Sunday,8,Airport Transfer,FALSE
V001,2024-06-17 18:55:54,2024-06-17 19:27:54,3,4.4,40.808493,-73.817586,40.859498,-73.802141,Downtown,Card,17.59,3.38,20.97,Clear,Light,CUST9220,DR407,Monday,18,Errands,FALSE
V004,2024-05-21 3:30:08,2024-05-21 4:25:08,2,3.2,40.9033,-74.071417,40.855914,-73.72157,Downtown,Cash,12.76,1.45,14.21,Snow,Moderate,CUST1548,DR375,Tuesday,3,Business,FALSE
V002,2024-07-08 10:43:47,2024-07-08 11:40:47,4,6.4,40.862115,-73.906626,40.868745,-73.841415,Suburbs,Cash,19.94,4.92,24.86,Snow,Light,CUST7971,DR261,Monday,10,Leisure,FALSE
V004,2024-05-24 3:37:42,2024-05-24 4:29:42,1,7.1,40.708202,-74.062959,40.897479,-73.783013,Midtown,Cash,22.54,2.41,24.95,Snow,Light,CUST7049,DR817,Friday,3,Airport Transfer,TRUE
V003,2024-06-22 11:59:47,2024-06-22 12:53:47,1,4.3,40.587687,-74.108671,40.697425,-73.988793,Uptown,Cash,11.8,2.11,13.91,Snow,Light,CUST7687,DR501,Saturday,11,Commute,TRUE
V002,2024-05-29 8:36:00,2024-05-29 9:27:00,1,5.5,40.851437,-73.991649,40.767258,-73.899145,Suburbs,Card,16.95,4.72,21.67,Clear,Light,CUST9929,DR830,Wednesday,8,Airport Transfer,FALSE
V002,2024-07-04 23:35:46,2024-07-04 23:46:46,2,9.1,40.894976,-74.125166,40.761285,-73.821281,Suburbs,Card,24.18,7.01,31.19,Fog,Moderate,CUST5509,DR766,Thursday,23,Leisure,TRUE
V004,2024-06-28 23:42:40,2024-06-29 0:36:40,3,6.6,40.64587,-73.904387,40.737638,-74.083963,Uptown,Card,19.91,3.53,23.44,Clear,Heavy,CUST1600,DR359,Friday,23,Business,FALSE
V001,2024-07-14 20:32:47,2024-07-14 20:48:47,4,7.6,40.761936,-74.11508,40.708247,-73.741912,Uptown,Card,24.2,2.72,26.92,Snow,Moderate,CUST7550,DR798,Sunday,20,Business,FALSE
V003,2024-06-06 7:19:23,2024-06-06 7:32:23,4,8.6,40.702942,-74.074719,40.897824,-73.977403,Airport,Card,26.27,3.1,29.37,Cloudy,Heavy,CUST1577,DR226,Thursday,7,Leisure,TRUE
V001,2024-05-23 5:29:11,2024-05-23 5:54:11,4,5.7,40.777796,-73.851397,40.661205,-74.145129,Airport,Cash,20.53,5.5,26.03,Rain,Moderate,CUST1616,DR166,Thursday,5,Airport Transfer,TRUE
V001,2024-06-16 14:19:13,2024-06-16 14:34:13,4,1.1,40.671593,-73.712855,40.913283,-74.06409,Downtown,Card,3.18,0.71,3.89,Rain,Light,CUST4648,DR109,Sunday,14,Commute,FALSE
V003,2024-05-07 22:17:08,2024-05-07 22:43:08,3,6.1,40.861911,-73.756137,40.771865,-73.867842,Airport,Card,17.81,3.26,21.07,Rain,Moderate,CUST1802,DR421,Tuesday,22,Errands,FALSE
V003,2024-07-25 5:58:45,2024-07-25 6:33:45,1,3.2,40.630357,-73.807938,40.721677,-74.010771,Airport,Card,6.56,1.92,8.48,Fog,Light,CUST4824,DR501,Thursday,5,Business,FALSE
V003,2024-05-12 13:01:15,2024-05-12 13:57:15,4,5.1,40.841351,-73.882691,40.720208,-73.82914,Uptown,Card,11.08,2.87,13.95,Clear,Heavy,CUST6389,DR290,Sunday,13,Errands,TRUE
V002,2024-06-05 11:01:19,2024-06-05 11:27:19,4,9.7,40.733473,-73.997256,40.876053,-74.029081,Uptown,Cash,24.18,2.81,26.99,Fog,Light,CUST6603,DR291,Wednesday,11,Airport Transfer,TRUE
V004,2024-07-19 22:59:14,2024-07-19 23:35:14,2,2,40.667234,-73.758116,40.732234,-74.064043,Suburbs,Cash,7.05,1.77,8.82,Cloudy,Heavy,CUST4532,DR752,Friday,22,Errands,TRUE
V001,2024-07-13 13:57:43,2024-07-13 14:24:43,2,2,40.73625,-74.024612,40.624823,-73.825418,Downtown,Cash,5.52,1.24,6.76,Rain,Light,CUST7010,DR421,Saturday,13,Commute,TRUE
V003,2024-06-23 15:46:42,2024-06-23 16:38:42,1,3.5,40.611854,-73.961639,40.795865,-74.14212,Uptown,Cash,9.84,2.68,12.52,Rain,Light,CUST2405,DR656,Sunday,15,Airport Transfer,TRUE
V004,2024-07-13 2:58:40,2024-07-13 3:31:40,3,8.3,40.588329,-74.060557,40.699245,-73.90174,Airport,Card,17.94,3.49,21.43,Cloudy,Heavy,CUST8631,DR942,Saturday,2,Commute,FALSE
V002,2024-07-06 11:57:14,2024-07-06 12:45:14,2,1.3,40.897057,-73.914926,40.647088,-73.815192,Midtown,Cash,3.89,1.11,5,Fog,Heavy,CUST3951,DR565,Saturday,11,Airport Transfer,TRUE
V003,2024-06-13 11:49:54,2024-06-13 12:15:54,3,8.3,40.830956,-74.128111,40.703706,-74.135294,Downtown,Card,22.35,2.96,25.31,Rain,Light,CUST3647,DR774,Thursday,11,Business,FALSE
V004,2024-07-28 17:10:27,2024-07-28 18:03:27,2,8.8,40.749385,-73.760491,40.895378,-73.767914,Midtown,Card,26.63,3.74,30.37,Cloudy,Light,CUST2704,DR719,Sunday,17,Errands,TRUE
V004,2024-06-24 7:43:58,2024-06-24 8:13:58,4,8.5,40.627984,-73.733155,40.752912,-73.926884,Downtown,Card,22.36,6.07,28.43,Clear,Heavy,CUST7828,DR382,Monday,7,Errands,FALSE
V003,2024-06-25 19:20:55,2024-06-25 20:05:55,2,5.4,40.587391,-73.878568,40.589815,-73.921622,Uptown,Card,20.94,5.3,26.24,Snow,Heavy,CUST6570,DR219,Tuesday,19,Business,TRUE
V004,2024-06-16 4:19:27,2024-06-16 4:32:27,1,6.2,40.881473,-73.851911,40.828917,-74.057321,Uptown,Card,12.97,3.7,16.67,Snow,Heavy,CUST7958,DR323,Sunday,4,Airport Transfer,TRUE
V002,2024-05-21 17:51:32,2024-05-21 18:49:32,2,6.2,40.720756,-73.927349,40.742315,-74.093321,Midtown,Cash,23.71,5.66,29.37,Snow,Moderate,CUST2510,DR561,Tuesday,17,Leisure,TRUE
V004,2024-06-11 19:39:09,2024-06-11 20:05:09,3,9.1,40.744604,-73.980803,40.620989,-73.9495,Downtown,Card,28.52,8.12,36.64,Clear,Light,CUST3129,DR342,Tuesday,19,Leisure,FALSE
